EID,TYPECODE,FBDATE,SXENDDATE
10751,1270862,2015/3/1,
10751,1271420,2015/3/1,
10751,66052879,2015/3/1,
10751,66062576,2015/3/1,
26642,289401,2014/8/1,
26642,83521583,2014/8/1,
28204,536301,2014/9/1,
28204,81307437,2014/9/1,
66085,812594,2014/12/1,
66085,91060948,2014/12/1,
71306,1445714,2015/4/1,
80938,908218,2014/12/1,
80938,89072934,2014/12/1,
102327,162694,2014/6/1,
102327,80348889,2014/6/1,
113907,1045611,2015/1/1,
113907,1498704,2015/4/1,
113907,1497269,2015/4/1,
113907,65987607,2015/1/1,
113907,15085743,2015/4/1,
113907,34215156,2015/4/1,
121661,814305,2014/12/1,
121661,1140188,2015/1/1,
121661,1140186,2015/1/1,
121661,91829726,2015/1/1,
121661,79306052,2014/12/1,
130905,241038,2014/8/1,2015/7/1
144254,171410,2014/6/1,
144254,80110640,2014/6/1,
145588,744339,2014/11/1,
145588,81437679,2014/11/1,
148648,2333207,2015/8/1,
148648,99589033,2015/8/1,
148931,1106374,2015/1/1,
148931,80137920,2015/1/1,
203590,404386,2014/8/1,
209166,219898,2014/7/1,
212895,11117,2013/10/1,
212895,60087942,2013/10/1,
213603,893080,2014/12/1,
213603,287522,2014/10/1,
213603,83574460,2014/10/1,
214508,1937737,2015/7/1,
214508,102686366,2015/7/1,
216953,236891,2014/8/1,
216953,2179257,2015/8/1,
216953,101483186,2015/8/1,
273189,1581190,2015/5/1,
273189,96486484,2015/5/1,
290294,1439216,2015/4/1,
305036,603443,2014/10/1,
305036,603440,2014/10/1,
305036,79552979,2014/10/1,
305036,79518535,2014/10/1,
313644,1642285,2015/5/1,
313644,98464406,2015/5/1,
358730,562609,2014/11/1,
358730,85059340,2014/11/1,
370187,795733,2014/12/1,
370187,795884,2014/12/1,
370187,89088556,2014/12/1,
370187,89119010,2014/12/1,
377796,725152,2014/11/1,
377796,220984,2014/8/1,
377796,220981,2014/8/1,
377796,237079,2014/8/1,
377796,220834,2014/7/1,
377796,220903,2014/7/1,
377796,21963359,2014/8/1,
377796,80071235,2014/7/1,
377796,87370643,2014/11/1,
377796,700661457,2014/8/1,
377796,81378728,2014/7/1,
377796,21963211,2014/8/1,
384473,1371364,2015/3/1,2015/7/1
397841,1069132,2015/1/1,
397841,29535997,2015/1/1,
404254,1621496,2015/5/1,
404254,1621511,2015/5/1,
404254,96509603,2015/5/1,
404254,96509718,2015/5/1,
409701,808950,2014/12/1,2015/7/1
409701,1498694,2015/4/1,
409701,14945186,2015/4/1,
431319,2058040,2015/7/1,
432517,1404001,2015/4/1,
432517,96522541,2015/4/1,
444586,1268340,2015/3/1,
444586,66047886,2015/3/1,
450186,19646,2013/10/1,
450878,1066077,2015/1/1,
475816,1446943,2015/4/1,
478104,1404261,2015/4/1,
478104,96515394,2015/4/1,
485652,237080,2014/8/1,
485652,61126923,2014/8/1,
512506,616547,2014/11/1,
512506,1008394,2015/1/1,
512506,63738185,2014/11/1,
522607,155577,2014/6/1,
522607,1644214,2015/5/1,
522607,2038818,2015/7/1,
522607,79573079,2014/6/1,
522607,92425555,2015/5/1,
522607,103064882,2015/7/1,
2157,1279521,2015/3/1,
2157,97741613,2015/3/1,
3488,873434,2014/12/1,
3488,1516224,2015/4/1,
4207,166214,2014/6/1,2015/7/1
11305,590813,2014/11/1,
11305,81377028,2014/11/1,
26326,928838,2014/12/1,2015/7/1
31275,239604,2014/8/1,
55822,1463384,2015/4/1,
55822,97965244,2015/4/1,
56117,831281,2014/12/1,
56117,91691123,2014/12/1,
73069,139903,2014/5/1,
73069,75022780,2014/5/1,
74469,884968,2015/1/1,
74469,91746641,2015/1/1,
78615,1063870,2015/1/1,
78615,85057874,2015/1/1,
102558,1380221,2015/3/1,
102558,99304565,2015/3/1,
103918,1568765,2015/5/1,
110163,2020340,2015/7/1,
110163,104114267,2015/7/1,
116712,787553,2014/12/1,
116712,89096822,2014/12/1,
134238,1377444,2015/4/1,
134238,84948129,2015/4/1,
138434,1445543,2015/4/1,
138434,99274227,2015/4/1,
139252,255939,2014/8/1,
139252,73368711,2014/8/1,
167082,195162,2014/6/1,
167082,73368709,2014/6/1,
173393,13366,2013/10/1,
190702,900335,2014/12/1,2015/7/1
190702,900332,2014/12/1,2015/7/1
190702,900330,2014/12/1,2015/7/1
204619,2038727,2015/7/1,
204619,2038718,2015/7/1,
204619,97927257,2015/7/1,
204619,97927258,2015/7/1,
234390,1686914,2015/5/1,
243821,2242092,2015/8/1,
243821,104866408,2015/8/1,
247515,1269002,2015/3/1,
282612,1165634,2015/2/1,
282612,91743211,2015/2/1,
291279,1048998,2015/3/1,
291279,65983319,2015/3/1,
293699,1049850,2015/3/1,
293699,10103511,2015/3/1,
314549,1094763,2015/1/1,
314549,60047692,2015/1/1,
325378,1630378,2015/5/1,
346536,1388136,2015/4/1,
346536,96520240,2015/4/1,
348349,15263,2013/10/1,
348349,66257716,2013/10/1,
388055,1253688,2015/3/1,
412615,1045639,2015/1/1,
412615,66000486,2015/1/1,
420233,770360,2014/12/1,
420233,958475,2015/1/1,
420233,89127198,2014/12/1,
428502,171199,2014/6/1,
428502,3908,2013/10/1,
428502,1093620,2015/3/1,
428502,1267520,2015/3/1,
428502,66060450,2015/3/1,
428502,66076573,2013/10/1,
428502,66062916,2015/3/1,
443721,957000,2015/1/1,
443721,957090,2015/1/1,
443721,956999,2015/1/1,
443721,957102,2015/1/1,
463969,1190763,2015/2/1,
463969,96529638,2015/2/1,
476827,227962,2014/8/1,
476827,337994,2014/9/1,
476827,81378704,2014/8/1,
494729,216555,2014/7/1,
494729,216511,2014/7/1,
494729,981822,2015/1/1,
494729,73368330,2014/7/1,
494729,73368332,2014/7/1,
516955,1498970,2015/4/1,
16905,215855,2014/8/1,
16905,207392,2014/8/1,
16905,18431501,2014/8/1,
43204,2269515,2015/8/1,
44082,1843564,2015/6/1,
55641,4484,2013/10/1,
55641,62197565,2013/10/1,
66856,1622019,2015/5/1,
66856,96520686,2015/5/1,
72976,216428,2014/7/1,
72976,216405,2014/7/1,
72976,216481,2014/7/1,
72976,199746,2014/7/1,
72976,216458,2014/7/1,
72976,216469,2014/7/1,
72976,216515,2014/7/1,
72976,216351,2014/7/1,
72976,216416,2014/7/1,
72976,216443,2014/7/1,
72976,216376,2014/7/1,
72976,212671,2014/7/1,
72976,199741,2014/7/1,
72976,199743,2014/7/1,
72976,199745,2014/7/1,
72976,199740,2014/7/1,
72976,199744,2014/7/1,
72976,32175984,2014/7/1,
72976,37953144,2014/7/1,
72976,37953023,2014/7/1,
72976,37954865,2014/7/1,
72976,32176090,2014/7/1,
72976,32175412,2014/7/1,
72976,37953887,2014/7/1,
72976,37954677,2014/7/1,
72976,37954395,2014/7/1,
72976,37953586,2014/7/1,
72976,32176323,2014/7/1,
72976,37953509,2014/7/1,
72976,32175683,2014/7/1,
72976,37953377,2014/7/1,
72976,37955133,2014/7/1,
72976,37955251,2014/7/1,
79149,215879,2014/8/1,
79149,174715,2014/6/1,
79149,73370610,2014/6/1,
81064,1284823,2015/3/1,
87339,571522,2014/10/1,
87339,87813313,2014/10/1,
133689,2084069,2015/7/1,
148559,1055873,2015/3/1,
148559,66008971,2015/3/1,
151191,1078009,2015/1/1,
151191,80293222,2015/1/1,
165494,187089,2014/6/1,
165494,79307427,2014/6/1,
177903,661171,2015/1/1,
178719,171343,2014/6/1,
178719,884828,2015/1/1,
178719,92406031,2015/1/1,
178719,80264665,2014/6/1,
182169,924679,2014/12/1,
182169,189041,2014/6/1,
182169,79323023,2014/6/1,
182169,83696044,2014/12/1,
185265,893049,2014/12/1,
222286,70595,2014/1/1,
222286,72945505,2014/1/1,
234041,179895,2014/6/1,
234041,181415,2014/6/1,
234041,152736,2014/6/1,
234041,1485683,2015/4/1,
234041,73387165,2014/6/1,
234041,81390782,2015/4/1,
234041,60049196,2014/6/1,
236872,602984,2014/10/1,
236872,602989,2014/10/1,
236872,86943036,2014/10/1,
236872,86943034,2014/10/1,
237949,707746,2014/11/1,
237949,88402943,2014/11/1,
265961,482079,2014/9/1,
265961,41388847,2014/9/1,
266856,256173,2015/3/1,2015/7/1
275919,219326,2014/8/1,
275919,240439,2014/8/1,
275919,214992,2014/7/1,
275919,212829,2014/7/1,
275919,234446,2014/8/1,
275919,16137009,2014/8/1,
275919,67676495,2014/8/1,
275919,40208542,2014/7/1,
275919,16022670,2014/8/1,
298347,1247772,2015/3/1,
298347,2341497,2015/8/1,
298347,80290587,2015/3/1,
298347,96504018,2015/8/1,
300010,1112670,2015/1/1,
300010,2232161,2015/8/1,
300010,98911343,2015/8/1,
300010,92780770,2015/1/1,
323427,2308394,2015/8/1,
323427,2308396,2015/8/1,
323427,100692001,2015/8/1,
339060,1005476,2015/1/1,
339060,42947148,2015/1/1,
349114,178688,2014/6/1,
349114,18413752,2014/6/1,
375575,218730,2014/8/1,
407355,2333554,2015/8/1,
427064,208018,2014/7/1,2015/7/1
427064,204354,2014/7/1,2015/7/1
456822,194714,2014/6/1,
456822,27386551,2014/6/1,
465690,1927519,2015/7/1,
465690,1927505,2015/7/1,
465690,1934270,2015/7/1,
465690,103032144,2015/7/1,
465690,103032109,2015/7/1,
465690,103030812,2015/7/1,
499183,1495305,2015/4/1,
2940,2024169,2015/7/1,
2940,100870298,2015/7/1,
19383,1531656,2015/5/1,
19383,27883471,2015/5/1,
39909,1213490,2015/2/1,
39909,73324882,2015/2/1,
60502,234059,2014/8/1,
98864,1636359,2015/5/1,
111351,483278,2014/9/1,
111351,80324209,2014/9/1,
113951,1711187,2015/6/1,
113951,101092730,2015/6/1,
135844,1249197,2015/3/1,
135844,62244862,2015/3/1,
139816,1824232,2015/6/1,
139816,1823835,2015/6/1,
139816,27878337,2015/6/1,
139816,28100682,2015/6/1,
184444,237115,2014/8/1,
190211,1258825,2015/3/1,2015/7/1
198267,1123565,2015/1/1,
198267,27829712,2015/1/1,
202487,936941,2014/12/1,
202487,17563816,2014/12/1,
208675,1213521,2015/2/1,
208675,1536228,2015/5/1,
208675,37462586,2015/2/1,
208870,786557,2014/12/1,
211301,2088024,2015/7/1,
211301,2088023,2015/7/1,
211301,103423119,2015/7/1,
218654,1098576,2015/1/1,2015/7/1
223427,1083444,2015/1/1,
244799,2262196,2015/8/1,
244799,105607751,2015/8/1,
246158,1170283,2015/2/1,
260236,204030,2014/7/1,
260236,204031,2014/7/1,
260236,1805262,2015/6/1,
260236,93700482,2015/6/1,
260236,60696364,2014/7/1,
260236,60696198,2014/7/1,
262065,204964,2014/7/1,
262875,1780875,2015/6/1,
262875,92403898,2015/6/1,
265576,194986,2014/6/1,
265576,81341516,2014/6/1,
272023,1059271,2015/1/1,
272023,91746937,2015/1/1,
275971,1061802,2015/1/1,
288336,170993,2014/6/1,
297870,1390490,2015/4/1,
298082,210776,2014/7/1,
298082,73366515,2014/7/1,
309867,911508,2014/12/1,
309867,216706,2014/8/1,
309867,700661486,2014/8/1,
309867,66018411,2014/12/1,
309867,6576656,2014/8/1,
376739,801874,2014/12/1,
396869,503901,2014/9/1,
396869,1091628,2015/1/1,
396869,80147705,2014/9/1,
396869,95136963,2015/1/1,
401151,139793,2014/5/1,
402053,1118469,2015/1/1,
402387,67867,2014/1/1,
402387,68725386,2014/1/1,
406418,397923,2014/9/1,
406418,62080589,2014/9/1,
442395,1989537,2015/7/1,
442395,101090387,2015/7/1,
444926,883361,2014/12/1,
444926,1494133,2015/4/1,
444926,96525273,2015/4/1,
444926,88991967,2014/12/1,
457399,1382105,2015/5/1,
457399,91796605,2015/5/1,
481052,184124,2014/6/1,
487286,184076,2014/6/1,
493110,1703765,2015/5/1,
493110,2020964,2015/8/1,
493110,85065577,2015/5/1,
5407,2000373,2015/7/1,
5407,81304325,2015/7/1,
42716,1202263,2015/2/1,
42716,61479694,2015/2/1,
76819,205455,2014/7/1,
76819,205431,2014/7/1,
76819,80116265,2014/7/1,
76819,80116288,2014/7/1,
105248,911621,2014/12/1,
105248,66016491,2014/12/1,
111655,602950,2014/10/1,
111655,79558903,2014/10/1,
131698,542528,2014/10/1,
131698,1357013,2015/3/1,
131698,98062156,2015/3/1,
131698,79523219,2014/10/1,
132141,657060,2014/11/1,2015/7/1
135158,136257,2014/5/1,
135158,78276088,2014/5/1,
148111,1092292,2015/1/1,
148111,66064731,2015/1/1,
180372,1044616,2015/1/1,
184046,1398700,2015/4/1,
184046,92417526,2015/4/1,
202967,704656,2014/11/1,
202967,182133,2014/6/1,
202967,9205,2013/10/1,
202967,704662,2014/11/1,
202967,183394,2014/6/1,
202967,89196437,2014/11/1,
202967,66174329,2013/10/1,
202967,80265812,2014/6/1,
203758,1234213,2015/3/1,
203758,1481082,2015/4/1,
203758,1772927,2015/6/1,
203758,1773114,2015/6/1,
203758,1752256,2015/6/1,
203758,1773885,2015/6/1,
203758,1772941,2015/6/1,
203758,1803413,2015/6/1,
203758,27866943,2015/6/1,
203758,27866871,2015/6/1,
203758,18604073,2015/3/1,
203758,15436508,2015/4/1,
203758,27822891,2015/6/1,
203758,23684651,2015/6/1,
203758,27536137,2015/6/1,
203758,27319750,2015/6/1,
211586,936999,2014/12/1,
211586,9571330,2014/12/1,
230932,994577,2015/1/1,
230932,93697849,2015/1/1,
245571,1123835,2015/1/1,
249926,20552,2013/10/1,
249926,914034,2015/1/1,
249926,66085905,2013/10/1,
249926,24448285,2015/1/1,
264894,1275209,2015/3/1,
264894,1275187,2015/3/1,
264894,1275194,2015/3/1,
264894,66030742,2015/3/1,
264894,66030741,2015/3/1,
264894,66030748,2015/3/1,
289554,1125172,2015/1/1,
289554,95116593,2015/1/1,
300211,1167083,2015/2/1,
331452,933427,2014/12/1,2015/7/1
331452,933442,2014/12/1,2015/7/1
331452,936965,2014/12/1,2015/7/1
331452,193491,2014/6/1,2015/7/1
339106,933392,2014/12/1,
339106,66004923,2014/12/1,
362200,90485,2014/2/1,
362200,73365744,2014/2/1,
370669,2254416,2015/8/1,
371252,2011188,2015/7/1,
391525,1606707,2015/7/1,
392801,1579684,2015/5/1,
392801,93696601,2015/5/1,
394230,172450,2014/6/1,2015/7/1
397032,90998,2014/2/1,
397032,73384015,2014/2/1,
398534,197937,2014/9/1,
398534,197932,2014/9/1,
398534,197941,2014/9/1,
398534,40041399,2014/9/1,
398534,40326953,2014/9/1,
398534,41448575,2014/9/1,
399357,1118163,2015/3/1,
422180,1647317,2015/5/1,
422180,100467945,2015/5/1,
432193,611278,2014/10/1,2015/7/1
433082,1644431,2015/5/1,
433082,96525225,2015/5/1,
437681,1096296,2015/1/1,
437681,1715066,2015/6/1,
437681,99085100,2015/6/1,
437681,27809961,2015/1/1,
448635,1247535,2015/3/1,
448635,97526185,2015/3/1,
458862,1607672,2015/5/1,
458862,1607735,2015/5/1,
458862,2200230,2015/8/1,
458862,98837236,2015/5/1,
458862,98816148,2015/5/1,
458862,100385720,2015/8/1,
473617,1002496,2015/3/1,
489124,190606,2014/6/1,
24602,218049,2014/8/1,
40846,1648590,2015/5/1,
40846,81318715,2015/5/1,
57782,243771,2014/8/1,
69343,161461,2014/6/1,
70924,105935,2014/3/1,
70924,72985977,2014/3/1,
92527,1176231,2015/2/1,
132185,606793,2014/10/1,
132185,181405,2014/6/1,
132185,73365545,2014/6/1,
132185,85074168,2014/10/1,
133901,1678408,2015/5/1,
133901,96509652,2015/5/1,
185056,218860,2014/8/1,
185056,12734302,2014/8/1,
185322,211804,2014/7/1,
185322,36184468,2014/7/1,
197062,1178495,2015/2/1,
213410,688015,2014/11/1,
214391,176458,2014/6/1,
267800,740887,2014/11/1,
267800,641841,2015/2/1,
267800,1208177,2015/2/1,
267800,1516380,2015/4/1,
267800,1516381,2015/4/1,
267800,1908803,2015/6/1,
267800,97983928,2015/4/1,
267800,78150128,2015/6/1,
267800,88421589,2015/2/1,
267800,90213766,2015/2/1,
271474,1205910,2015/2/1,
271474,1714650,2015/6/1,
271474,96521758,2015/2/1,
271474,96500749,2015/6/1,
274409,1006663,2015/1/1,
289123,400099,2014/8/1,
289123,79934911,2014/8/1,
310742,192271,2014/6/1,
310742,1496074,2015/4/1,
310742,1927309,2015/7/1,
310742,98522482,2015/4/1,
310742,97121279,2015/7/1,
310742,80317633,2014/6/1,
313604,911638,2014/12/1,2015/7/1
313604,1309948,2015/3/1,2015/7/1
318863,1150458,2015/1/1,2015/7/1
321196,1920188,2015/6/1,
321196,83519397,2015/6/1,
327066,212111,2014/7/1,
327066,35382850,2014/7/1,
334203,1490875,2015/4/1,
351926,261866,2014/8/1,
351926,80466882,2014/8/1,
357149,2038516,2015/7/1,
386935,944143,2014/12/1,
386935,92716291,2014/12/1,
433116,238413,2014/8/1,
433116,83557721,2014/8/1,
443986,1568851,2015/5/1,
443986,97190233,2015/5/1,
450365,885091,2015/1/1,
450365,91832234,2015/1/1,
491608,1837198,2015/6/1,
492995,195189,2014/6/1,
492995,79322292,2014/6/1,
501418,970803,2015/1/1,2015/7/1
502929,650700,2014/11/1,
502929,527881,2014/9/1,
502929,230471,2014/7/1,
502929,80120032,2014/7/1,
502929,73391473,2014/11/1,
502929,80137876,2014/9/1,
9216,848046,2015/3/1,
9216,6610393,2015/3/1,
12255,1961579,2015/7/1,
12255,103014591,2015/7/1,
41037,3003,2013/10/1,
41037,54485,2014/1/1,
41037,32747045,2014/1/1,
104109,884730,2014/12/1,
104109,92772372,2014/12/1,
105978,2302095,2015/8/1,
105978,2302005,2015/8/1,
105978,102424714,2015/8/1,
106657,1268155,2015/3/1,2015/7/1
111848,1294115,2015/3/1,
111848,1395955,2015/4/1,
111848,97787477,2015/4/1,
111848,66084229,2015/3/1,
118231,206581,2014/8/1,
118231,218254,2014/8/1,
125186,1600155,2015/6/1,
125186,100546125,2015/6/1,
144404,1050462,2015/3/1,2015/7/1
148765,2174353,2015/8/1,
148765,97189522,2015/8/1,
200270,962998,2015/1/1,
200270,80057762,2015/1/1,
201148,219416,2014/8/1,
201148,11330216,2014/8/1,
227114,602979,2014/10/1,
227114,474466,2014/9/1,
227114,80336838,2014/9/1,
227114,79571198,2014/10/1,
233957,911564,2014/12/1,
241132,177905,2014/6/1,
274665,1234430,2015/3/1,2015/7/1
274665,1261718,2015/3/1,
274665,66078296,2015/3/1,
307705,174839,2014/6/1,2015/7/1
313380,1118579,2015/1/1,
313380,93542860,2015/1/1,
320133,230721,2014/8/1,
320133,206292,2014/8/1,
320133,199896,2014/7/1,
320133,216335,2014/8/1,
320133,216337,2014/8/1,
320133,217624,2014/8/1,
320133,210791,2014/7/1,
320133,206296,2014/8/1,
320133,65848671,2014/8/1,
320133,43172814,2014/7/1,
320133,81701417,2014/8/1,
323474,215002,2014/8/1,
323474,207316,2014/8/1,
323474,227545,2014/8/1,
323474,73366583,2014/8/1,
323474,60083341,2014/8/1,
368334,172924,2014/6/1,2015/7/1
383922,1434753,2015/6/1,
383922,99268629,2015/6/1,
421659,1874540,2015/7/1,
427701,734902,2014/11/1,
427701,81322937,2014/11/1,
427734,587485,2014/10/1,
427734,86795756,2014/10/1,
429630,1803433,2015/6/1,
429630,101355679,2015/6/1,
451115,583873,2014/10/1,
451115,85061523,2014/10/1,
470396,903335,2014/12/1,
470396,930932,2014/12/1,
470396,180957,2014/6/1,
470396,66083590,2014/6/1,
470396,66062952,2014/12/1,
470396,66048244,2014/12/1,
493587,929119,2014/12/1,
493587,929180,2014/12/1,
493587,929238,2014/12/1,
493587,929265,2014/12/1,
493587,929159,2014/12/1,
493587,929171,2014/12/1,
493587,929237,2014/12/1,
493587,929247,2014/12/1,
493587,929253,2014/12/1,
493587,929137,2014/12/1,
493587,929149,2014/12/1,
493587,929125,2014/12/1,
493587,929164,2014/12/1,
493587,929132,2014/12/1,
493587,929143,2014/12/1,
493587,929258,2014/12/1,
493587,10154,2013/10/1,
493587,1582519,2015/5/1,
493587,61028271,2013/10/1,
493587,66070737,2014/12/1,
493587,66070743,2014/12/1,
493587,66070731,2014/12/1,
493587,66070746,2014/12/1,
493587,66070749,2014/12/1,
493587,66070740,2014/12/1,
493587,66070755,2014/12/1,
493587,66070734,2014/12/1,
493587,66070750,2014/12/1,
493587,93701852,2015/5/1,
493587,66070875,2014/12/1,
493587,66070781,2014/12/1,
493587,66070776,2014/12/1,
493587,66070768,2014/12/1,
493587,66070756,2014/12/1,
501267,188898,2014/6/1,2015/7/1
15074,538191,2014/10/1,2015/7/1
32532,171278,2014/6/1,
32532,27944069,2014/6/1,
39679,562903,2014/9/1,
42832,508199,2014/10/1,
42832,79286916,2014/10/1,
42856,614887,2014/11/1,
42856,286555,2014/8/1,
42856,83465902,2014/11/1,
44906,2206563,2015/8/1,
44906,92706797,2015/8/1,
63680,965227,2015/1/1,
63680,1714666,2015/6/1,
63680,1714656,2015/6/1,
63680,1714676,2015/6/1,
63680,1714688,2015/6/1,
63680,1714672,2015/6/1,
63680,1714662,2015/6/1,
63680,92543295,2015/1/1,
63680,96491116,2015/6/1,
63680,96491114,2015/6/1,
63680,96506357,2015/6/1,
63680,97995156,2015/6/1,
63680,97995153,2015/6/1,
63680,97995140,2015/6/1,
67070,903389,2014/12/1,
67070,66061631,2014/12/1,
92547,252360,2014/8/1,
92547,79626569,2014/8/1,
111275,1953581,2015/7/1,
111275,98522287,2015/7/1,
119119,11639,2013/10/1,
119119,1045488,2015/1/1,
119119,43523842,2013/10/1,
119119,65997267,2015/1/1,
143026,1549421,2015/5/1,
143026,1549426,2015/5/1,
143026,98905870,2015/5/1,
153936,1403179,2015/4/1,
